id,title,company,location,category,job_type,publication_date,salary,url,source
themuse_19426527,"Psychiatrist, Medical Consultant- Remote",Unum Group,Kolkata,Business Operations,Full-time,2025-07-28T22:00:22Z,Negotiable,https://www.themuse.com/jobs/unumgroup/psychiatrist-medical-consultant-remote,The Muse
themuse_21370279,"Account Executive, ENT",Flexport,Kolkata,Sales,Full-time,2026-04-02T18:43:12Z,Negotiable,https://www.themuse.com/jobs/flexport/account-executive-ent-3dac51,The Muse
themuse_21471210,Staff Software Engineer,Sunrun,Kolkata,Software Engineering,Full-time,2026-04-25T20:35:48Z,Negotiable,https://www.themuse.com/jobs/sunrun/staff-software-engineer-51c2b5,The Muse
themuse_19221635,Associate Billing Representative - National Remote,Optum,Kolkata,General,Full-time,2025-06-10T09:59:32Z,Negotiable,https://www.themuse.com/jobs/optum/associate-billing-representative-national-remote-f63643,The Muse
themuse_21637164,Leaves Specialist,Sunrun,Kolkata,Data and Analytics,Full-time,2026-05-02T19:54:55Z,Negotiable,https://www.themuse.com/jobs/sunrun/leaves-specialist,The Muse
themuse_21457771,"Senior Security Engineer, Red Team",DoorDash,Kolkata,Software Engineering,Full-time,2026-04-22T19:36:30Z,Negotiable,https://www.themuse.com/jobs/doordash/senior-security-engineer-red-team,The Muse
themuse_21316052,Account Executive - State & Local Govt,Celonis,Kolkata,Sales,Full-time,2026-04-16T18:38:50Z,Negotiable,https://www.themuse.com/jobs/celonis/account-executive-state-local-govt,The Muse
themuse_21477621,Account Executive - New Grad,GlossGenius,Kolkata,Sales,Full-time,2026-04-17T18:47:53Z,Negotiable,https://www.themuse.com/jobs/glossgenius/account-executive-new-grad,The Muse
themuse_21651726,"Technical Implementation Specialist, DoorDash for Business",DoorDash,Kolkata,Account Management,Full-time,2026-05-06T19:35:05Z,Negotiable,https://www.themuse.com/jobs/doordash/technical-implementation-specialist-doordash-for-business,The Muse
themuse_21589234,External Affairs Manager (Tennessee),SpaceX,Kolkata,Legal Services,Full-time,2026-04-17T18:45:51Z,Negotiable,https://www.themuse.com/jobs/spacex/external-affairs-manager-tennessee,The Muse
