id,title,company,location,category,url,source,job_type,priority,education,is_mnc,placements,package
mnc_14948214,Managing Delivery Architect - SDWAN Delivery Architect,Capgemini,India / Remote,Computer and IT,https://www.themuse.com/jobs/capgemini/managing-delivery-architect-sdwan-delivery-architect-9895f9,MNC Network,Full Time,1,General,True,149,6
mnc_21668713,Security Engineer with Public Trust,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/security-engineer-with-public-trust,MNC Network,Full Time,1,"BCA, BTECH, MCA",True,170,12
mnc_21339866,Robotic Process Automation Developer,Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/robotic-process-automation-developer-7a828a,MNC Network,Full Time,1,"BCA, BTECH, MCA",True,163,13
mnc_21510926,"Tax Senior, Internal Tax Team - International Tax",Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/tax-senior-internal-tax-team-international-tax,MNC Network,Full Time,1,General,True,75,23
mnc_21565976,"Lead Forward Deployed Engineer, Frontier GenAI",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/lead-forward-deployed-engineer-frontier-genai,MNC Network,Full Time,1,"BCA, BTECH, MCA",True,152,12
mnc_20524638,"Senior Consultant, National Federal Tax Services - Transaction & Integration Services (T&IS) - E300",Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-consultant-national-federal-tax-services-transaction-integration-services-tis-e300-a08cc5,MNC Network,Full Time,1,General,True,75,21
mnc_21585100,Guidewire ClaimCenter Developer,Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/guidewire-claimcenter-developer-fbfbb5,MNC Network,Full Time,1,"BCA, BTECH, MCA",True,141,13
mnc_21668727,Power and Utilities OT Operational Technology-Senior Consultant,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/power-and-utilities-ot-operational-technologysenior-consultant,MNC Network,Full Time,1,General,True,113,8
mnc_21654987,Oracle Cloud Finance Manager,Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/oracle-cloud-finance-manager-fc8b4f,MNC Network,Full Time,1,General,True,109,11
mnc_17934196,"Consulting, Senior Consultant",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/consulting-senior-consultant-d7b732,MNC Network,Full Time,1,General,True,87,19
mnc_20524644,"Senior Consultant, National Federal Tax Services, Strategic Tax Review",Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-consultant-national-federal-tax-services-strategic-tax-review-694137,MNC Network,Full Time,1,General,True,159,11
mnc_17952602,"Consulting, Specialist Master",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/consulting-specialist-master-d583be,MNC Network,Full Time,1,General,True,188,23
mnc_21645990,"Senior Consultant, Health Insurance - Risk Regulatory & Compliance",Deloitte,India / Remote,Education,https://www.themuse.com/jobs/deloitte/senior-consultant-health-insurance-risk-regulatory-compliance,MNC Network,Full Time,1,General,True,89,24
mnc_16674416,GPS Lead Security Specialist,Deloitte,India / Remote,Project Management,https://www.themuse.com/jobs/deloitte/gps-lead-security-specialist,MNC Network,Full Time,1,General,True,141,6
mnc_21654995,"Training Coordinator - TS/SCI w/ Poly - Chantilly, VA",Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/training-coordinator-tssci-w-poly-chantilly-va,MNC Network,Full Time,1,General,True,67,13
mnc_21227760,Business Intel Reports Developer (TS/SCI w/ Poly Required),Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/business-intel-reports-developer-tssci-w-poly-required,MNC Network,Full Time,1,"BCA, BTECH, MCA",True,144,11
mnc_16867245,Senior Network Access Engineer - DDI,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/senior-network-access-engineer-ddi-759aac,MNC Network,Full Time,1,"BCA, BTECH, MCA",True,162,10
mnc_21641076,Washington National Tax - Credits & Incentives (C&I) - Manager,Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/washington-national-tax-credits-incentives-ci-manager,MNC Network,Full Time,1,General,True,143,8
mnc_21654999,API Developer with MuleSoft & Traceable,Deloitte,India / Remote,Business Operations,https://www.themuse.com/jobs/deloitte/api-developer-with-mulesoft-traceable,MNC Network,Full Time,1,"BCA, BTECH, MCA",True,86,20
mnc_18243573,Senior Functional Support - Federal Health,Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-functional-support-federal-health-500441,MNC Network,Full Time,1,General,True,68,15
mnc_17791015,"Consulting, Manager",Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/consulting-manager-9df0f1,MNC Network,Full Time,1,General,True,82,14
mnc_21178069,"Finance Transformation, Insurance Consulting - Manager",PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/finance-transformation-insurance-consulting-manager,MNC Network,Full Time,1,General,True,55,8
mnc_21647895,Managed Services - Network Field Services Specialist,PwC,India / Remote,Software Engineering,https://www.themuse.com/jobs/pwc/managed-services-network-field-services-specialist,MNC Network,Full Time,1,General,True,188,22
mnc_21594140,Managed Services - Health PLS R&D - Director,PwC,India / Remote,Sales,https://www.themuse.com/jobs/pwc/managed-services-health-pls-rd-director-1b3d44,MNC Network,Full Time,1,General,True,197,20
mnc_21471067,Oracle CPQ - Senior Manager,PwC,India / Remote,Education,https://www.themuse.com/jobs/pwc/oracle-cpq-senior-manager-6fc1a1,MNC Network,Full Time,1,General,True,54,15
mnc_17842964,"Financial Risk & Reg - Tech & Analytics, Senior Manager",PwC,India / Remote,Corporate,https://www.themuse.com/jobs/pwc/financial-risk-reg-tech-analytics-senior-manager-4679c2,MNC Network,Full Time,1,General,True,113,21
mnc_21637912,Data Strategy-Manager,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/data-strategymanager,MNC Network,Full Time,1,"MSC, BSC, BTECH",True,168,18
