id,title,company,location,category,url,source,job_type,priority,publication_date,salary,education,experience_level,is_mnc,placements,package
mnc_14948214,Managing Delivery Architect - SDWAN Delivery Architect,Capgemini,India / Remote,Computer and IT,https://www.themuse.com/jobs/capgemini/managing-delivery-architect-sdwan-delivery-architect-9895f9,MNC Network,Remote,1.0,,,General,Experienced,True,168,11
mnc_21995677,Program Senior Manager,Deloitte,India / Remote,Sales,https://www.themuse.com/jobs/deloitte/program-senior-manager,MNC Network,Remote,1.0,,,General,Experienced,True,95,12
mnc_21756685,SAP/SF Payroll Manager,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/sapsf-payroll-manager-ce86e0,MNC Network,Remote,1.0,,,General,Experienced,True,181,8
mnc_21886283,Tax Manager - Private Wealth,Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/tax-manager-private-wealth-da45e2,MNC Network,Remote,1.0,,,General,Experienced,True,99,23
mnc_21951392,Microsoft 365 Security Consultant,Deloitte,India / Remote,Computer and IT,https://www.themuse.com/jobs/deloitte/microsoft-365-security-consultant,MNC Network,Remote,1.0,,,General,Experienced,True,100,21
mnc_22103098,SAP ABAP Sr. Consultant,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/sap-abap-sr-consultant,MNC Network,Remote,1.0,,,General,Experienced,True,89,20
mnc_21782402,Cyber Manager - ASM Vulnerability Management - Patching,Deloitte,India / Remote,Management,https://www.themuse.com/jobs/deloitte/cyber-manager-asm-vulnerability-management-patching,MNC Network,Remote,1.0,,,General,Experienced,True,197,23
mnc_21813245,Microsoft D365 F&O Sr Consultant,Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/microsoft-d365-fo-sr-consultant,MNC Network,Remote,1.0,,,General,Experienced,True,52,14
mnc_22123447,GPS HST Software Engineer III,Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/gps-hst-software-engineer-iii-30fa61,MNC Network,Remote,1.0,,,"BTECH, MCA, BCA",Experienced,True,103,24
mnc_22117053,Analytics and Insights Engineer III - Tableau Developer,Deloitte,India / Remote,Science and Engineering,https://www.themuse.com/jobs/deloitte/analytics-and-insights-engineer-iii-tableau-developer,MNC Network,Remote,1.0,,,"BTECH, MCA, BCA",Experienced,True,160,9
mnc_21818109,Technology Strategy Manager,Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/technology-strategy-manager-27af56,MNC Network,Remote,1.0,,,General,Experienced,True,143,6
mnc_22103130,"Cyber Management Consultant II, Senior Consultant",Deloitte,India / Remote,Management,https://www.themuse.com/jobs/deloitte/cyber-management-consultant-ii-senior-consultant,MNC Network,Remote,1.0,,,General,Experienced,True,50,7
mnc_17934196,"Consulting, Senior Consultant",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/consulting-senior-consultant-d7b732,MNC Network,Remote,1.0,,,General,Experienced,True,80,24
mnc_22123472,"Salesforce Developer, Project-Consultant, Technical Transformation",Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/salesforce-developer-projectconsultant-technical-transformation-2827aa,MNC Network,Remote,1.0,,,"BTECH, MCA, NON-TECH, BCA",Experienced,True,193,6
mnc_22067815,"Inventory Management, Audit Remediation, & Data Analytics Controllership Senior Consultant",Deloitte,India / Remote,Business Operations,https://www.themuse.com/jobs/deloitte/inventory-management-audit-remediation-data-analytics-controllership-senior-consultant,MNC Network,Remote,1.0,,,"BTECH, MSC, BSC",Experienced,True,133,18
mnc_22055314,Business Valuation - Manager,Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/business-valuation-manager,MNC Network,Remote,1.0,,,General,Experienced,True,88,19
mnc_17952602,"Consulting, Specialist Master",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/consulting-specialist-master-d583be,MNC Network,Remote,1.0,,,General,Experienced,True,94,10
mnc_16674416,GPS Lead Security Specialist,Deloitte,India / Remote,Project Management,https://www.themuse.com/jobs/deloitte/gps-lead-security-specialist,MNC Network,Remote,1.0,,,General,Experienced,True,110,11
mnc_21782373,Workday Financials Manager,Deloitte,India / Remote,Project Management,https://www.themuse.com/jobs/deloitte/workday-financials-manager-7cd8df,MNC Network,Remote,1.0,,,General,Experienced,True,138,11
mnc_16867245,Senior Network Access Engineer - DDI,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/senior-network-access-engineer-ddi-759aac,MNC Network,Remote,1.0,,,"BTECH, MCA, BCA",Experienced,True,86,23
mnc_22024510,"Senior, Full Stack Engineer - Tax Transformation",Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/senior-full-stack-engineer-tax-transformation,MNC Network,Remote,1.0,,,"BTECH, MCA, BCA",Experienced,True,173,11
mnc_17842964,"Financial Risk & Reg - Tech & Analytics, Senior Manager",PwC,India / Remote,Corporate,https://www.themuse.com/jobs/pwc/financial-risk-reg-tech-analytics-senior-manager-4679c2,MNC Network,Remote,1.0,,,General,Experienced,True,92,20
mnc_17346250,SAP TMO Manager,PwC,India / Remote,Corporate,https://www.themuse.com/jobs/pwc/sap-tmo-manager,MNC Network,Remote,1.0,,,General,Experienced,True,159,22
mnc_21575808,"Microsoft D365 CRM + Copilot/AI Functional Lead, Manager",PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/microsoft-d365-crm-copilotai-functional-lead-manager,MNC Network,Remote,1.0,,,General,Experienced,True,108,11
mnc_21835472,Managed Services - Revenue Cycle Coding - Senior Manager,PwC,India / Remote,Business Operations,https://www.themuse.com/jobs/pwc/managed-services-revenue-cycle-coding-senior-manager,MNC Network,Remote,1.0,,,General,Experienced,True,183,22
mnc_21989613,Workforce Technology- Payroll Implementation - Senior Associate,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/workforce-technology-payroll-implementation-senior-associate-4a711e,MNC Network,Remote,1.0,,,General,Experienced,True,77,12
mnc_17656836,Oracle Cloud Finance Consultant - Senior Manager,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/oracle-cloud-finance-consultant-senior-manager-4289f0,MNC Network,Remote,1.0,,,General,Experienced,True,195,15
mnc_21753909,Deals - Deal Valuation - Experienced Associate,PwC,India / Remote,Software Engineering,https://www.themuse.com/jobs/pwc/deals-deal-valuation-experienced-associate,MNC Network,Remote,1.0,,,General,Experienced,True,195,16
mnc_21788079,"Guidewire Technical Lead, Senior Manager",PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/guidewire-technical-lead-senior-manager-18ad1e,MNC Network,Remote,1.0,,,General,Experienced,True,181,20
mnc_21353937,"Duck Creek Application Architect, Manager",PwC,India / Remote,Design and UX,https://www.themuse.com/jobs/pwc/duck-creek-application-architect-manager,MNC Network,Remote,1.0,,,General,Experienced,True,79,8
mnc_18538748,"Properties, Facilities and Marketing Procurement Manager",PwC,India / Remote,Cleaning and Facilities,https://www.themuse.com/jobs/pwc/properties-facilities-and-marketing-procurement-manager,MNC Network,Remote,1.0,,,NON-TECH,Experienced,True,76,23
mnc_21927223,Alliance Sales Director (CRE): Workday,PwC,India / Remote,Sales,https://www.themuse.com/jobs/pwc/alliance-sales-director-cre-workday-6138c3,MNC Network,Remote,1.0,,,NON-TECH,Experienced,True,184,6
mnc_18264674,MDM Senior Architect-Manager,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/mdm-senior-architectmanager-aea046,MNC Network,Remote,1.0,,,General,Experienced,True,145,14
mnc_17640414,FS Transformation Capital Markets Consultant - Senior Associate,PwC,India / Remote,Human Resources and Recruitment,https://www.themuse.com/jobs/pwc/fs-transformation-capital-markets-consultant-senior-associate-260e2a,MNC Network,Remote,1.0,,,General,Experienced,True,194,7
mnc_22005137,AI Engineer,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/ai-engineer,MNC Network,Remote,1.0,,,"BTECH, MCA, BCA",Experienced,True,103,20
mnc_21594139,Oracle Finance Implementation Consultant - Experienced Associate,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/oracle-finance-implementation-consultant-experienced-associate-467051,MNC Network,Remote,1.0,,,General,Experienced,True,157,9
mnc_21448553,Value Added Tax (VAT) Senior Manager,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/value-added-tax-vat-senior-manager-bd06e8,MNC Network,Remote,1.0,,,General,Experienced,True,177,19
mnc_21629368,Adobe Transformation - Senior Manager,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/adobe-transformation-senior-manager,MNC Network,Remote,1.0,,,General,Experienced,True,169,12
mnc_22013206,Commercial AI Strategy Director,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/commercial-ai-strategy-director,MNC Network,Remote,1.0,,,General,Experienced,True,133,21
mnc_21870468,"Kinaxis Solutions Architect, Manager",PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/kinaxis-solutions-architect-manager,MNC Network,Remote,1.0,,,General,Experienced,True,125,22
mnc_21870465,Pharma & MedTech End-to-End Supply Chain Manager,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/pharma-medtech-endtoend-supply-chain-manager,MNC Network,Remote,1.0,,,General,Experienced,True,82,6
arbeitnow_machine-learning-engineer-mlops-engineer-stuttgart-493718,Machine Learning Engineer / MLOps Engineer (m/w/d),Rockstardevelopers GmbH,Stuttgart,Technology,https://www.arbeitnow.com/jobs/companies/rockstardevelopers-gmbh/machine-learning-engineer-mlops-engineer-stuttgart-493718,Arbeitnow,Remote,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,26,3
arbeitnow_senior-site-reliability-engineer-sre-kubernetes-hybrid-cloud-berlin-136254,Senior Site Reliability Engineer / SRE – Kubernetes & Hybrid Cloud (m/f/d),FactFinder,Berlin,Technology,https://www.arbeitnow.com/jobs/companies/factfinder/senior-site-reliability-engineer-sre-kubernetes-hybrid-cloud-berlin-136254,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,40,4
arbeitnow_senior-site-reliability-engineer-all-genders-berlin-357290,Senior Site Reliability Engineer (all genders),FactFinder,Berlin,Technology,https://www.arbeitnow.com/jobs/companies/factfinder/senior-site-reliability-engineer-all-genders-berlin-357290,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,18,3
arbeitnow_software-engineer-release-engineering-326196,"Software Engineer, Release Engineering",mozilla,,Technology,https://www.arbeitnow.com/jobs/companies/mozilla/software-engineer-release-engineering-326196,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,32,5
arbeitnow_werkstudent-mensch-client-service-media-dusseldorf-422658,Werkstudent (Mensch) Client Service Media,wppmedia,Dusseldorf,Technology,https://www.arbeitnow.com/jobs/companies/wppmedia/werkstudent-mensch-client-service-media-dusseldorf-422658,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,6,7
arbeitnow_vice-president-client-analytics-mensch-dusseldorf-frankfurt-hamburg-munich-78822,Vice President Client Analytics (Mensch),wppmedia,Dusseldorf; Frankfurt; Hamburg; Munich,Technology,https://www.arbeitnow.com/jobs/companies/wppmedia/vice-president-client-analytics-mensch-dusseldorf-frankfurt-hamburg-munich-78822,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,23,5
arbeitnow_senior-manager-influencer-marketing-mensch-dusseldorf-77676,Senior Manager Influencer Marketing (Mensch),wppmedia,Dusseldorf,Technology,https://www.arbeitnow.com/jobs/companies/wppmedia/senior-manager-influencer-marketing-mensch-dusseldorf-77676,Arbeitnow,On-site,,2026-05-08,Negotiable,NON-TECH,Experienced,False,35,6
arbeitnow_senior-indirect-procurement-category-manager-marketing-all-genders-berlin-berlin-384965,Senior Indirect Procurement Category Manager - Marketing (All Genders),4lu44n1n37w012k,"Berlin, Berlin",Technology,https://www.arbeitnow.com/jobs/companies/4lu44n1n37w012k/senior-indirect-procurement-category-manager-marketing-all-genders-berlin-berlin-384965,Arbeitnow,On-site,,2026-05-08,Negotiable,NON-TECH,Experienced,False,10,6
arbeitnow_senior-application-product-manager-supply-chain-procurement-munich-95849,Senior Application Product Manager - Supply Chain - Procurement,celonis,Munich,Technology,https://www.arbeitnow.com/jobs/companies/celonis/senior-application-product-manager-supply-chain-procurement-munich-95849,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,25,6
arbeitnow_werkstudent-proposal-management-munchen-400460,Werkstudent Proposal Management (m/w/d),ILF Consulting Engineers Germany GmbH,"München, Bayern, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/ilf-consulting-engineers-germany-gmbh/werkstudent-proposal-management-munchen-400460,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,30,5
arbeitnow_senior-controller-ulm-37960,(Senior) Controller (m/w/d),qinX,"Ulm, Baden-Württemberg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/qinx/senior-controller-ulm-37960,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,39,5
arbeitnow_werkstudent-im-verkauf-mode-und-bekleidung-trier-326915,Werkstudent (m/w/d) im Verkauf Mode und Bekleidung,KULT | OLYMP & HADES,"Trier, Rheinland-Pfalz, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/kult-olymp-hades/werkstudent-im-verkauf-mode-und-bekleidung-trier-326915,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,15,6
arbeitnow_werkstudent-data-science-offenbach-am-main-426796,Werkstudent (w/m/d) Data Science,Holzland Becker,"Offenbach am Main, Hessen, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/holzland-becker/werkstudent-data-science-offenbach-am-main-426796,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MSC, BSC",Experienced,False,12,4
arbeitnow_applied-operations-research-engineer-berlin-227233,Applied Operations Research Engineer,Circonomit,"Berlin, Germany",Technology,https://www.arbeitnow.com/jobs/companies/circonomit/applied-operations-research-engineer-berlin-227233,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,24,4
arbeitnow_applied-operations-research-engineer-cologne-101455,Applied Operations Research Engineer,Circonomit,"Cologne, Germany",Technology,https://www.arbeitnow.com/jobs/companies/circonomit/applied-operations-research-engineer-cologne-101455,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,42,7
arbeitnow_working-student-strategy-market-insights-essen-383211,Working Student Strategy & Market Insights (m/f/d),Edri,Essen,Technology,https://www.arbeitnow.com/jobs/companies/edri/working-student-strategy-market-insights-essen-383211,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,25,5
arbeitnow_working-student-data-analytics-engineering-emobility-essen-200143,Working Student Data Analytics/Engineering eMobility (f/m/d),Edri,Essen,Technology,https://www.arbeitnow.com/jobs/companies/edri/working-student-data-analytics-engineering-emobility-essen-200143,Arbeitnow,On-site,,2026-05-08,Negotiable,"MCA, MSC, BSC, BTECH, BCA",Experienced,False,39,5
arbeitnow_senior-commercial-support-manager-essen-450508,Senior Commercial Support Manager (m/w/d),Edri,Essen,Technology,https://www.arbeitnow.com/jobs/companies/edri/senior-commercial-support-manager-essen-450508,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,26,4
arbeitnow_commercial-strategy-manager-data-quality-kpi-monitoring-processes-essen-11382,"Commercial Strategy Manager – Data Quality, KPI Monitoring, Processes (m/w/d)",Edri,Essen,Technology,https://www.arbeitnow.com/jobs/companies/edri/commercial-strategy-manager-data-quality-kpi-monitoring-processes-essen-11382,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MSC, BSC",Experienced,False,11,6
