id,title,company,location,category,job_type,url,source,priority,education,experience_level,is_mnc,placements,package
real_mock_0,Software Engineer,Capgemini,"Andhra Pradesh, India",Corporate,On-site,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer&location=Andhra%20Pradesh,LinkedIn,1,"MCA, BTECH, BCA",Experienced,True,180,13
real_mock_1,Data Analyst,Cognizant,"Assam, India",Technology,On-site,https://www.naukri.com/data-analyst-jobs-in-assam,Naukri,1,"BTECH, BSC, MSC",Experienced,True,173,16
real_mock_2,Consultant,Deloitte,"Bihar, India",Technology,On-site,https://unstop.com/jobs?query=Consultant,Unstop,1,General,Experienced,True,183,11
real_mock_3,Accountant,Goldman Sachs,"Chhattisgarh, India",Corporate,On-site,https://www.linkedin.com/jobs,Direct MNC,1,General,Experienced,True,81,20
real_mock_4,BCA Intern,KPMG,"Delhi, India",Technology,On-site,https://www.linkedin.com/jobs/search/?keywords=BCA%20Intern&location=Delhi,LinkedIn,1,BCA,Fresher,True,145,12
real_mock_5,MCA Trainee,PwC,"Goa, India",Technology,On-site,https://www.naukri.com/mca-trainee-jobs-in-goa,Naukri,1,MCA,Fresher,True,72,18
real_mock_6,B.Tech Graduate,Accenture,"Gujarat, India",Corporate,On-site,https://unstop.com/jobs?query=B.Tech+Graduate,Unstop,1,BTECH,Fresher,True,165,17
real_mock_7,HR Manager,Oracle,"Haryana, India",Technology,On-site,https://www.linkedin.com/jobs,Direct MNC,1,NON-TECH,Experienced,True,60,16
real_mock_8,Product Manager,HDFC Bank,"Himachal Pradesh, India",Technology,On-site,https://www.linkedin.com/jobs/search/?keywords=Product%20Manager&location=Himachal%20Pradesh,LinkedIn,1,General,Experienced,False,6,7
real_mock_9,DevOps Engineer,Coal India,"Jharkhand, India",Corporate,On-site,https://www.naukri.com/devops-engineer-jobs-in-jharkhand,Naukri,1,"MCA, BTECH, BCA",Experienced,False,26,5
real_mock_10,Software Engineer,TCS,"Karnataka, India",Technology,On-site,https://unstop.com/jobs?query=Software+Engineer,Unstop,1,"MCA, BTECH, BCA",Experienced,False,22,7
real_mock_11,Data Analyst,Infosys,"Kerala, India",Technology,On-site,https://www.linkedin.com/jobs,Direct MNC,1,"BTECH, BSC, MSC",Experienced,False,44,5
real_mock_12,Consultant,Wipro,"Madhya Pradesh, India",Corporate,On-site,https://www.linkedin.com/jobs/search/?keywords=Consultant&location=Madhya%20Pradesh,LinkedIn,1,General,Experienced,False,25,5
real_mock_13,Accountant,Reliance,"Maharashtra, India",Technology,On-site,https://www.naukri.com/accountant-jobs-in-maharashtra,Naukri,1,General,Experienced,False,13,6
real_mock_14,BCA Intern,L&T Technology Services,"Meghalaya, India",Technology,On-site,https://unstop.com/jobs?query=BCA+Intern,Unstop,1,BCA,Fresher,False,40,6
real_mock_15,MCA Trainee,Tech Mahindra,"Odisha, India",Corporate,On-site,https://www.linkedin.com/jobs,Direct MNC,1,MCA,Fresher,False,15,7
real_mock_16,B.Tech Graduate,IBM,"Punjab, India",Technology,On-site,https://www.linkedin.com/jobs/search/?keywords=B.Tech%20Graduate&location=Punjab,LinkedIn,1,BTECH,Fresher,False,17,5
real_mock_17,HR Manager,Teleperformance,"Rajasthan, India",Technology,On-site,https://www.naukri.com/hr-manager-jobs-in-rajasthan,Naukri,1,NON-TECH,Experienced,False,43,6
